,Date,States Tracked,New Tests,Positive,Negative,Pos + Neg,Pending,Current hospitalization,Deaths,Total Tests
0,2020-07-24,56,929838,4092928,45745166,49838094,3409,59670,137655,49838094
1,2020-07-23,56,824399,4017735,44890521,48908256,3179,59885,136477,48908256
2,2020-07-22,56,795502,3946708,44137149,48083857,3051,59675,135438,48083857
3,2020-07-21,56,750248,3877558,43410797,47288355,3197,59362,134321,47288355
4,2020-07-20,56,711015,3813916,42724191,46538107,3003,58371,133283,46538107
5,2020-07-19,56,798508,3756945,42070147,45827092,3052,57885,132921,45827092
6,2020-07-18,56,761632,3692061,41336523,45028584,3032,57645,132395,45028584
7,2020-07-17,56,837392,3626881,40640071,44266952,3002,57761,131523,44266952
8,2020-07-16,56,827564,3549648,39879912,43429560,2929,57442,130572,43429560
9,2020-07-15,56,761997,3478695,39123301,42601996,2947,56144,129598,42601996
10,2020-07-14,56,769982,3413313,38426686,41839999,960,55565,128740,41839999
11,2020-07-13,56,693576,3350434,37719583,41070017,2610,53988,128004,41070017
12,2020-07-12,56,758324,3291969,37084472,40376441,2639,52727,127677,40376441
13,2020-07-11,56,698444,3230991,36387126,39618117,2618,51859,127201,39618117
14,2020-07-10,56,810806,3167984,35751689,38919673,2493,51595,126444,38919673
15,2020-07-09,56,703050,3101339,35007528,38108867,2530,43934,125590,38108867
16,2020-07-08,56,629102,3042503,34363314,37405817,2360,43078,124723,37405817
17,2020-07-07,56,634791,2980356,33796359,36776715,2136,41760,123826,36776715
18,2020-07-06,56,501201,2928590,33213334,36141924,1907,39768,122904,36141924
19,2020-07-05,56,681450,2886990,32753733,35640723,1885,38764,122662,35640723
20,2020-07-04,56,642171,2841201,32118072,34959273,2083,38146,122453,34959273
21,2020-07-03,56,710949,2786467,31530635,34317102,2237,37798,122147,34317102
22,2020-07-02,56,662316,2732244,30873909,33606153,2208,37500,121550,33606153
23,2020-07-01,56,633286,2678418,30265419,32943837,2604,36405,120853,32943837
24,2020-06-30,56,624063,2627744,29682807,32310551,2432,35248,120152,32310551
25,2020-06-29,56,646824,2580282,29106206,31686488,2194,33586,119556,31686488
26,2020-06-28,56,583898,2541107,28498557,31039664,2198,32476,119226,31039664
27,2020-06-27,56,599386,2499250,27956516,30455766,2186,32483,118955,30455766
28,2020-06-26,56,606747,2455467,27400913,29856380,2201,31738,118446,29856380
29,2020-06-25,56,637148,2411046,26838587,29249633,2133,31844,117810,29249633
30,2020-06-24,56,519202,2371974,26240511,28612485,2049,31102,115309,28612485
31,2020-06-23,56,491719,2333290,25759993,28093283,1891,30235,114585,28093283
32,2020-06-22,56,466605,2300269,25301295,27601564,2028,28799,113877,27601564
33,2020-06-21,56,511098,2273252,24861707,27134959,2084,28203,113594,27134959
34,2020-06-20,56,559215,2245968,24377893,26623861,2108,27967,113302,26623861
35,2020-06-19,56,573992,2213974,23850672,26064646,2032,28615,112674,26064646
36,2020-06-18,56,516193,2182928,23307726,25490654,1903,28414,112019,25490654
37,2020-06-17,56,485290,2155401,22819060,24974461,1745,28573,111315,24974461
38,2020-06-16,56,464529,2131528,22357643,24489171,1604,28270,110548,24489171
39,2020-06-15,56,432811,2108093,21916549,24024642,1619,27867,109819,24024642
40,2020-06-14,56,485220,2089583,21502248,23591831,1672,27893,109439,23591831
41,2020-06-13,56,496428,2068210,21038401,23106611,1698,28450,109084,23106611
42,2020-06-12,56,623125,2042869,20567314,22610183,1783,29154,108393,22610183
43,2020-06-11,56,459455,2019392,19967666,21987058,1816,29698,107621,21987058
44,2020-06-10,56,428999,1997360,19530243,21527603,1737,30864,106723,21527603
45,2020-06-09,56,419724,1976557,19122047,21098604,1661,31183,105838,21098604
46,2020-06-08,56,395146,1959382,18719498,20678880,1606,31202,104940,20678880
47,2020-06-07,56,445939,1942370,18341364,20283734,1733,31408,104280,20283734
48,2020-06-06,56,520251,1923547,17914248,19837795,1796,31938,103834,19837795
49,2020-06-05,56,506275,1900441,17417103,19317544,1749,32451,103107,19317544
50,2020-06-04,56,460984,1877089,16934180,18811269,3474,32835,102284,18811269
51,2020-06-03,56,466714,1856250,16494035,18350285,3556,33269,101396,18350285
52,2020-06-02,56,418646,1835938,16047633,17883571,4054,33933,100405,17883571
53,2020-06-01,56,412327,1815956,15648969,17464925,3455,34285,99446,17464925
54,2020-05-31,56,396171,1795541,15257057,17052598,3270,34859,98781,17052598
55,2020-05-30,56,425754,1773902,14882525,16656427,1668,35732,98132,16656427
56,2020-05-29,56,487229,1750140,14480533,16230673,2978,36999,97203,16230673
57,2020-05-28,56,434470,1726618,14016826,15743444,1906,38069,96024,15743444
58,2020-05-27,56,308433,1704017,13604957,15308974,3132,38373,94798,15308974
59,2020-05-26,56,305932,1684632,13315909,15000541,1549,37779,93480,15000541
60,2020-05-25,56,422588,1668003,13026606,14694609,3368,37650,92840,14694609
61,2020-05-24,56,381505,1649205,12622816,14272021,3860,37695,92285,14272021
62,2020-05-23,56,390000,1629100,12261416,13890516,4084,38614,91607,13890516
63,2020-05-22,56,409088,1607510,11893006,13500516,3709,39989,90547,13500516
64,2020-05-21,56,461819,1582955,11508473,13091428,3641,41231,89212,13091428
65,2020-05-20,56,407159,1556442,11073167,12629609,2973,41762,87824,12629609
66,2020-05-19,56,401339,1535123,10687327,12222450,2944,41872,86432,12222450
67,2020-05-18,56,354713,1514270,10306841,11821111,3596,41748,85107,11821111
68,2020-05-17,56,371154,1493278,9973120,11466398,3449,41785,84263,11466398
69,2020-05-16,56,362120,1473107,9622137,11095244,3788,43396,83417,11095244
70,2020-05-15,56,358323,1448406,9284718,10733124,2457,43462,82433,10733124
71,2020-05-14,56,364074,1423696,8951105,10374801,2673,44730,80931,10374801
72,2020-05-13,56,319041,1396991,8613736,10010727,1983,45835,79060,10010727
73,2020-05-12,56,308555,1375798,8315888,9691686,1803,46471,77364,9691686
74,2020-05-11,56,382123,1353135,8029996,9383131,1989,45419,75892,9383131
75,2020-05-10,56,266330,1334899,7666109,9001008,3095,46019,75005,9001008
76,2020-05-09,56,291609,1313395,7421283,8734678,3054,47589,73981,8734678
77,2020-05-08,56,297850,1288585,7154484,8443069,3307,48765,72549,8443069
78,2020-05-07,56,301644,1260980,6884239,8145219,3171,50374,70770,8145219
79,2020-05-06,56,244833,1233490,6610085,7843575,2742,51434,68030,7843575
80,2020-05-05,56,271471,1208434,6390308,7598742,2633,52112,66098,7598742
81,2020-05-04,56,231456,1185985,6141286,7327271,2791,51257,63653,7327271
82,2020-05-03,56,236514,1163462,5932353,7095815,2812,51447,62641,7095815
83,2020-05-02,56,247084,1137695,5721606,6859301,1578,52838,61435,6859301
84,2020-05-01,56,295226,1108510,5503707,6612217,1639,53622,59894,6612217
85,2020-04-30,56,232808,1075454,5241537,6316991,2775,55114,58141,6316991
86,2020-04-29,56,238605,1045886,5038297,6084183,4832,56206,56024,6084183
87,2020-04-28,56,206614,1019245,4826333,5845578,4206,56255,53332,5845578
88,2020-04-27,56,195400,994026,4644938,5638964,4077,56191,51290,5638964
89,2020-04-26,56,206288,971421,4472143,5443564,4445,56186,50053,5443564
90,2020-04-25,56,276150,944041,4293235,5237276,5315,57377,48865,5237276
91,2020-04-24,56,235857,908140,4052986,4961126,4396,57300,47151,4961126
92,2020-04-23,56,192810,873966,3851303,4725269,4258,58989,45286,4725269
93,2020-04-22,56,323483,842182,3690277,4532459,4191,59205,43522,4532459
94,2020-04-21,56,152834,813266,3395710,4208976,3956,59780,41457,4208976
95,2020-04-20,56,145688,786933,3269209,4056142,4037,56783,39028,4056142
96,2020-04-19,56,153930,761061,3149393,3910454,11324,56526,37263,3910454
97,2020-04-18,56,145834,733593,3022931,3756524,9906,57761,35530,3756524
98,2020-04-17,56,158684,705630,2905060,3610690,10889,58895,33693,3610690
99,2020-04-16,56,163798,673666,2778340,3452006,16927,59499,31616,3452006
100,2020-04-15,56,136982,642743,2645465,3288208,16901,59940,29475,3288208
101,2020-04-14,56,151772,612445,2538781,3151226,16615,59601,26989,3151226
102,2020-04-13,56,134183,586814,2412640,2999454,17159,56195,24702,2999454
103,2020-04-12,56,138917,561681,2303590,2865271,16419,55426,23130,2865271
104,2020-04-11,56,136987,533837,2192517,2726354,16593,55572,21500,2726354
105,2020-04-10,56,158393,503276,2086091,2589367,17435,52723,19518,2589367
106,2020-04-09,56,171058,468925,1962049,2430974,17622,50859,17463,2430974
107,2020-04-08,56,147488,434506,1825410,2259916,17219,45141,15491,2259916
108,2020-04-07,56,154242,403972,1708456,2112428,16548,43465,13547,2112428
109,2020-04-06,56,152008,373235,1584951,1958186,17283,35856,11591,1958186
110,2020-04-05,56,119655,344298,1461880,1806178,17303,31875,10337,1806178
111,2020-04-04,56,229193,318748,1367775,1686523,15569,29987,9052,1686523
112,2020-04-03,56,132890,285496,1171834,1457330,61976,25472,7612,1457330
113,2020-04-02,56,118851,253551,1070889,1324440,62097,22764,6353,1324440
114,2020-04-01,56,108521,225559,980030,1205589,59665,20775,5204,1205589
115,2020-03-31,56,112330,199786,897282,1097068,59518,18082,4216,1097068
116,2020-03-30,56,118461,175092,809646,984738,65369,15772,3355,984738
117,2020-03-29,56,87612,153195,713082,866277,65545,14026,2778,866277
118,2020-03-28,56,106870,133540,645125,778665,65709,12350,2262,778665
119,2020-03-27,56,102656,113816,557979,671795,60091,10932,1743,671795
120,2020-03-26,56,101815,94772,474367,569139,60251,7757,1342,569139
121,2020-03-25,56,84394,77116,390208,467324,51235,5062,1031,467324
122,2020-03-24,56,69137,64243,318687,382930,14433,3902,799,382930
123,2020-03-23,56,58148,53611,260182,313793,14571,2770,568,313793
124,2020-03-22,56,45473,42169,213476,255645,2842,2155,471,255645
125,2020-03-21,56,45333,32910,177262,210172,3468,1436,328,210172
126,2020-03-20,56,36662,26025,138814,164839,3330,1042,267,164839
127,2020-03-19,56,28081,19770,108407,128177,3016,617,199,128177
128,2020-03-18,56,25064,15099,84997,100096,2526,416,153,100096
129,2020-03-17,56,17320,11928,63104,75032,1687,325,122,75032
130,2020-03-16,56,17924,8315,49397,57712,1691,0,100,57712
131,2020-03-15,51,7604,6746,33042,39788,2242,0,79,39788
132,2020-03-14,51,4610,5495,26689,32184,1236,0,64,32184
133,2020-03-13,51,9171,4580,22994,27574,1130,0,55,27574
134,2020-03-12,51,5310,3555,14848,18403,673,0,51,18403
135,2020-03-11,50,3818,2873,10220,13093,563,0,43,13093
136,2020-03-10,50,2490,2346,6929,9275,469,0,37,9275
137,2020-03-09,50,1773,1905,4880,6785,313,0,35,6785
138,2020-03-08,50,874,1538,3474,5012,347,0,31,5012
139,2020-03-07,50,798,1271,2867,4138,602,0,27,4138
140,2020-03-06,36,786,1051,2289,3340,458,0,26,3340
141,2020-03-05,24,617,910,1644,2554,197,0,20,2554
142,2020-03-04,15,1098,757,1180,1937,103,0,16,1937
143,2020-03-03,3,243,570,269,839,0,0,14,839
144,2020-03-02,3,194,470,126,596,0,0,11,596
145,2020-03-01,3,86,388,14,402,0,0,8,402
146,2020-02-29,1,41,299,17,316,0,0,5,316
147,2020-02-28,1,40,275,0,275,0,0,4,275
148,2020-02-27,1,27,235,0,235,0,0,2,235
149,2020-02-26,1,29,208,0,208,0,0,2,208
150,2020-02-25,1,31,179,0,179,0,0,0,179
151,2020-02-24,1,26,148,0,148,0,0,0,148
152,2020-02-23,1,16,122,0,122,0,0,0,122
153,2020-02-22,1,13,106,0,106,0,0,0,106
154,2020-02-21,1,11,93,0,93,0,0,0,93
155,2020-02-20,1,13,82,0,82,0,0,0,82
156,2020-02-19,1,10,69,0,69,0,0,0,69
157,2020-02-18,1,9,59,0,59,0,0,0,59
158,2020-02-17,1,15,50,0,50,0,0,0,50
159,2020-02-16,1,7,35,0,35,0,0,0,35
160,2020-02-15,1,7,28,0,28,0,0,0,28
161,2020-02-14,1,3,21,0,21,0,0,0,21
162,2020-02-13,1,0,18,0,18,0,0,0,18
163,2020-02-12,1,1,18,0,18,0,0,0,18
164,2020-02-11,1,1,17,0,17,0,0,0,17
165,2020-02-10,1,3,16,0,16,0,0,0,16
166,2020-02-09,1,0,13,0,13,0,0,0,13
167,2020-02-08,1,1,13,0,13,0,0,0,13
168,2020-02-07,1,1,12,0,12,0,0,0,12
169,2020-02-06,1,3,11,0,11,0,0,0,11
170,2020-02-05,1,0,8,0,8,0,0,0,8
171,2020-02-04,1,1,8,0,8,0,0,0,8
172,2020-02-03,1,1,7,0,7,0,0,0,7
173,2020-02-02,1,2,6,0,6,0,0,0,6
174,2020-02-01,1,1,4,0,4,0,0,0,4
175,2020-01-31,1,0,3,0,3,0,0,0,3
176,2020-01-30,1,0,3,0,3,0,0,0,3
177,2020-01-29,1,1,3,0,3,0,0,0,3
178,2020-01-28,1,0,2,0,2,0,0,0,2
179,2020-01-27,1,0,2,0,2,0,0,0,2
180,2020-01-26,1,0,2,0,2,0,0,0,2
181,2020-01-25,1,0,2,0,2,0,0,0,2
182,2020-01-24,1,0,2,0,2,0,0,0,2
183,2020-01-23,1,0,2,0,2,0,0,0,2
184,2020-01-22,1,0,2,0,2,0,0,0,2
